13,104,1800,6980,8998
19,105,1806,7002,9030
25,105,1807,7006,9038
32,105,1808,7012,9045
14,102,1780,6880,8910
20,102,1782,6888,8920
26,103,1816,7032,9107
32,118,2219,8511,11000
38,684,14050,52641,65535
44,631,12766,48110,62207
50,606,12572,46591,59852
56,629,12914,48294,62226
62,626,12901,48079,61991
68,119,2126,8249,10547
74,117,2111,8213,10562
80,106,1853,7217,9342
86,107,1864,7255,9393
92,107,1866,7261,9403
98,108,1869,7274,9420
104,108,1870,7277,9425
110,108,1870,7279,9426
116,108,1871,7279,9429
122,108,1872,7284,9433
128,108,1872,7284,9435
134,108,1872,7286,9434
140,108,1873,7287,9437
147,108,1874,7292,9447
153,108,1874,7293,9447
159,108,1874,7293,9447
165,108,1875,7294,9447
171,109,1875,7295,9451
177,108,1876,7296,9452
183,109,1876,7296,9452
189,108,1875,7296,9454
195,108,1875,7298,9454
201,107,1874,7297,9451
207,103,1822,7085,9177
213,107,1880,7326,9488
219,108,1883,7333,9498
225,108,1883,7335,9500
231,104,1874,7312,9467
237,105,1876,7312,9454
243,107,1896,7391,9561
249,107,1899,7400,9576
255,106,1899,7401,9578
261,106,1900,7405,9585
267,108,1901,7407,9590
273,107,1901,7408,9593
279,107,1901,7409,9596
285,108,1902,7412,9599
291,107,1902,7412,9599
297,108,1902,7413,9600
303,108,1903,7416,9605
309,108,1902,7414,9604
315,107,1903,7416,9605
321,106,1902,7415,9604
327,108,1903,7416,9608
333,108,1903,7417,9607
339,107,1902,7417,9609
345,107,1904,7418,9611
351,107,1904,7418,9612
357,106,1902,7418,9610
363,107,1903,7420,9614
369,108,1904,7419,9615
375,107,1904,7420,9617
381,108,1905,7422,9618
387,108,1905,7422,9620
393,108,1906,7421,9617
399,108,1905,7421,9620
405,108,1906,7425,9625
411,108,1906,7425,9623
417,108,1906,7426,9625
423,108,1906,7425,9623
429,108,1907,7426,9626
435,107,1906,7427,9626
441,108,1907,7427,9627
447,108,1907,7429,9628
453,108,1908,7430,9631
459,108,1907,7430,9631
465,108,1908,7431,9633
471,108,1907,7431,9632
477,107,1908,7430,9630
483,108,1907,7430,9630
491,108,1908,7431,9633
497,108,1908,7430,9632
503,108,1907,7430,9631
509,108,1908,7431,9631
515,108,1908,7429,9628
521,107,1908,7431,9631
527,108,1908,7433,9631
533,108,1909,7432,9630
539,107,1909,7432,9631
545,107,1909,7432,9630
551,107,1909,7434,9632
557,108,1909,7436,9633
563,108,1909,7435,9630
569,108,1909,7435,9630
575,108,1910,7436,9631
581,108,1911,7437,9632
587,108,1910,7438,9633
593,108,1913,7443,9637
599,108,1912,7442,9636
